ID_Location,Name,Year,Total route length (km),Total duration (hrs),Number of routes,Total Area (km2),,,,,,,,,,,,
5,Wuparo,2022,46.2,14.9,5,148,,,,,,,,,,,,
8,Kwandu,2022,95.2,33.1,11,190,,,,,,,,,,,,
9,Mayuni,2022,85.7,23.5,6,151,,,,,,,,,,,,
16,Mashi,2022,104.5,28.4,9,297,,,,,,,,,,,,
45,Balyerwa,2022,76.6,21.9,11,225,,,,,,,,,,,,
49,Sobbe,2022,109.6,28.4,10,391,,,,,,,,,,,,
56,Sikunga,2022,44,12.8,4,287,,,,,,,,,,,,
59,Dzoti,2022,119.6,30,12,287,,,,,,,,,,,,
64,Bamunu,2022,90,22.2,9,556,,,,,,,,,,,,
8004,Bwabwata West,2022,593,132.7,35,630,,,,,,,,,,,,
8005,Mahango,2022,308.9,59.7,21,245,,,,,,,,,,,,
8006,Bwabwata East,2022,813.7,152.8,55,1345,,,,,,,,,,,,
8007,Mudumu,2022,385.9,79.8,24,716,,,,,,,,,,,,
2,Salambala,2023,189.6,48,14,930,,,,,,,,,,,,
5,Wuparo,2023,60.8,19.3,5,148,,,,,,,,,,,,
8,Kwandu,2023,97.6,27.6,11,190,,,,,,,,,,,,
9,Mayuni,2023,80.2,20.3,6,151,,,,,,,,,,,,
16,Mashi,2023,105.4,29.2,9,297,,,,,,,,,,,,
45,Balyerwa,2023,104.8,31.2,12,225,,,,,,,,,,,,
49,Sobbe,2023,105.5,32.2,10,391,,,,,,,,,,,,
56,Sikunga,2023,66.7,13,4,287,,,,,,,,,,,,
59,Dzoti,2023,123.9,34.2,12,287,,,,,,,,,,,,
64,Bamunu,2023,118.2,32.3,9,556,,,,,,,,,,,,
8004,Bwabwata West,2023,553.7,116.7,34,630,,,,,,,,,,,,
8005,Mahango,2023,355.5,60,22,245,,,,,,,,,,,,
8006,Bwabwata East,2023,975.4,215,58,1345,,,,,,,,,,,,
8007,Mudumu,2023,359.5,80.7,24,716,,,,,,,,,,,,
8008,Nkasa Rupara,2023,154.7,13.6,4,338,,,,,,,,,,,,
