ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,,,,,
40,King Nehale,Gemsbok,2020,1,1,123,0.8,,,,,,,,,,
40,King Nehale,Gemsbok,2021,8,1,137,5.8,,,,,,,,,,
40,King Nehale,Gemsbok,2022,,,136,,,,,,,,,,,
40,King Nehale,Gemsbok,2023,,,136,,,,,,,,,,,
40,King Nehale,Gemsbok,2024,,,131,,,,,,,,,,,
40,King Nehale,Giraffe,2010,,,128,,,,,,,,,,,
40,King Nehale,Giraffe,2011,,,128,,,,,,,,,,,
40,King Nehale,Giraffe,2012,,,167,,,,,,,,,,,
40,King Nehale,Giraffe,2013,,,141,,,,,,,,,,,
40,King Nehale,Giraffe,2014,,,144,,,,,,,,,,,
40,King Nehale,Giraffe,2015,,,144,,,,,,,,,,,
40,King Nehale,Giraffe,2016,3,2,147,2,,,,,,,,,,
40,King Nehale,Giraffe,2017,,,123,,,,,,,,,,,
40,King Nehale,Giraffe,2018,,,123,,,,,,,,,,,
40,King Nehale,Giraffe,2019,6,1,123,4.9,,,,,,,,,,
40,King Nehale,Giraffe,2020,,,123,,,,,,,,,,,
40,King Nehale,Giraffe,2021,,,137,,,,,,,,,,,
40,King Nehale,Giraffe,2022,,,136,,,,,,,,,,,
40,King Nehale,Giraffe,2023,,,136,,,,,,,,,,,
40,King Nehale,Giraffe,2024,,,131,,,,,,,,,,,
40,King Nehale,Guineafowl,2010,,,128,,,,,,,,,,,
40,King Nehale,Guineafowl,2011,,,128,,,,,,,,,,,
40,King Nehale,Guineafowl,2012,,,167,,,,,,,,,,,
40,King Nehale,Guineafowl,2013,,,141,,,,,,,,,,,
40,King Nehale,Guineafowl,2014,,,144,,,,,,,,,,,
40,King Nehale,Guineafowl,2015,,,144,,,,,,,,,,,
40,King Nehale,Guineafowl,2016,,,147,,,,,,,,,,,
40,King Nehale,Guineafowl,2017,200,3,123,163,,,,,,,,,,
40,King Nehale,Guineafowl,2018,164,6,123,133.7,,,,,,,,,,
40,King Nehale,Guineafowl,2019,112,5,123,91.3,,,,,,,,,,
40,King Nehale,Guineafowl,2020,58,3,123,47.3,,,,,,,,,,
40,King Nehale,Guineafowl,2021,,,137,,,,,,,,,,,
40,King Nehale,Guineafowl,2022,,,136,,,,,,,,,,,
40,King Nehale,Guineafowl,2023,,,136,,,,,,,,,,,
40,King Nehale,Guineafowl,2024,,,131,,,,,,,,,,,
40,King Nehale,Hartebeest,2010,,,128,,,,,,,,,,,
40,King Nehale,Hartebeest,2011,,,128,,,,,,,,,,,
40,King Nehale,Hartebeest,2012,,,167,,,,,,,,,,,
40,King Nehale,Hartebeest,2013,,,141,,,,,,,,,,,
40,King Nehale,Hartebeest,2014,,,144,,,,,,,,,,,
40,King Nehale,Hartebeest,2015,,,144,,,,,,,,,,,
40,King Nehale,Hartebeest,2016,,,147,,,,,,,,,,,
40,King Nehale,Hartebeest,2017,,,123,,,,,,,,,,,
40,King Nehale,Hartebeest,2018,,,123,,,,,,,,,,,
40,King Nehale,Hartebeest,2019,,,123,,,,,,,,,,,
40,King Nehale,Hartebeest,2020,,,123,,,,,,,,,,,
40,King Nehale,Hartebeest,2021,,,137,,,,,,,,,,,
40,King Nehale,Hartebeest,2022,,,136,,,,,,,,,,,
40,King Nehale,Hartebeest,2023,,,136,,,,,,,,,,,
