Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,
Gemsbok,2015,218,42,896,24.3,,,,,,,,,,,,
Gemsbok,2016,188,40,917,20.5,,,,,,,,,,,,
Gemsbok,2017,244,40,858,28.4,,,,,,,,,,,,
Gemsbok,2018,157,38,851,18.5,,,,,,,,,,,,
Gemsbok,2019,528,63,864,61.1,,,,,,,,,,,,
Gemsbok,2020,127,28,858,14.8,,,,,,,,,,,,
Gemsbok,2021,153,27,928,16.5,,,,,,,,,,,,
Gemsbok,2022,226,31,911,24.8,,,,,,,,,,,,
Gemsbok,2023,69,16,974,7.1,,,,,,,,,,,,
Gemsbok,2024,52,20,1060,4.9,,,,,,,,,,,,
Giraffe,2003,9,2,,,,,,,,,,,,,,
Giraffe,2004,12,3,,,,,,,,,,,,,,
Giraffe,2005,8,2,,,,,,,,,,,,,,
Giraffe,2006,18,6,,,,,,,,,,,,,,
Giraffe,2007,15,4,,,,,,,,,,,,,,
Giraffe,2008,13,3,,,,,,,,,,,,,,
Giraffe,2009,44,9,204,21.5,,,,,,,,,,,,
Giraffe,2010,38,7,852,4.5,,,,,,,,,,,,
Giraffe,2011,23,7,1019,2.3,,,,,,,,,,,,
Giraffe,2012,20,5,1070,1.9,,,,,,,,,,,,
Giraffe,2013,63,8,900,7,,,,,,,,,,,,
Giraffe,2014,41,10,896,4.6,,,,,,,,,,,,
Giraffe,2015,46,12,896,5.1,,,,,,,,,,,,
Giraffe,2016,25,8,917,2.7,,,,,,,,,,,,
Giraffe,2017,32,5,858,3.7,,,,,,,,,,,,
Giraffe,2018,43,9,851,5.1,,,,,,,,,,,,
Giraffe,2019,13,4,864,1.5,,,,,,,,,,,,
Giraffe,2020,24,4,858,2.8,,,,,,,,,,,,
Giraffe,2021,18,3,928,1.9,,,,,,,,,,,,
Giraffe,2022,26,8,911,2.9,,,,,,,,,,,,
Giraffe,2023,14,5,974,1.4,,,,,,,,,,,,
Giraffe,2024,23,11,1060,2.2,,,,,,,,,,,,
Guineafowl,2003,,,,,,,,,,,,,,,,
Guineafowl,2004,,,,,,,,,,,,,,,,
Guineafowl,2005,,,,,,,,,,,,,,,,
Guineafowl,2006,,,,,,,,,,,,,,,,
Guineafowl,2007,,,,,,,,,,,,,,,,
Guineafowl,2008,,,,,,,,,,,,,,,,
Guineafowl,2009,,,204,,,,,,,,,,,,,
Guineafowl,2010,,,852,,,,,,,,,,,,,
Guineafowl,2011,,,1019,,,,,,,,,,,,,
Guineafowl,2012,,,1070,,,,,,,,,,,,,
Guineafowl,2013,,,900,,,,,,,,,,,,,
Guineafowl,2014,,,896,,,,,,,,,,,,,
Guineafowl,2015,,,896,,,,,,,,,,,,,
Guineafowl,2016,206,7,917,22.5,,,,,,,,,,,,
Guineafowl,2017,539,10,858,62.8,,,,,,,,,,,,
Guineafowl,2018,398,16,851,46.8,,,,,,,,,,,,
Guineafowl,2019,335,23,864,38.8,,,,,,,,,,,,
Guineafowl,2020,90,4,858,10.5,,,,,,,,,,,,
Guineafowl,2021,,,928,,,,,,,,,,,,,
Guineafowl,2022,,,911,,,,,,,,,,,,,
Guineafowl,2023,,,974,,,,,,,,,,,,,
Guineafowl,2024,,,1060,,,,,,,,,,,,,
Hartebeest,2003,16,1,,,,,,,,,,,,,,
Hartebeest,2004,18,2,,,,,,,,,,,,,,
Hartebeest,2005,55,4,,,,,,,,,,,,,,
Hartebeest,2006,168,9,,,,,,,,,,,,,,
Hartebeest,2007,155,9,,,,,,,,,,,,,,
Hartebeest,2008,64,3,,,,,,,,,,,,,,
Hartebeest,2009,229,20,204,112,,,,,,,,,,,,
Hartebeest,2010,231,18,852,27.1,,,,,,,,,,,,
Hartebeest,2011,265,23,1019,26,,,,,,,,,,,,
Hartebeest,2012,93,15,1070,8.7,,,,,,,,,,,,
Hartebeest,2013,213,19,900,23.7,,,,,,,,,,,,
Hartebeest,2014,208,13,896,23.2,,,,,,,,,,,,
Hartebeest,2015,131,19,896,14.6,,,,,,,,,,,,
Hartebeest,2016,89,20,917,9.7,,,,,,,,,,,,
Hartebeest,2017,226,20,858,26.3,,,,,,,,,,,,
Hartebeest,2018,327,32,851,38.4,,,,,,,,,,,,
Hartebeest,2019,520,31,864,60.2,,,,,,,,,,,,
Hartebeest,2020,112,13,858,13.1,,,,,,,,,,,,
Hartebeest,2021,17,4,928,1.8,,,,,,,,,,,,
Hartebeest,2022,23,4,911,2.5,,,,,,,,,,,,
Hartebeest,2023,6,6,974,0.6,,,,,,,,,,,,
Hartebeest,2024,59,5,1060,5.6,,,,,,,,,,,,
Hartmann's Zebra,2003,,,,,,,,,,,,,,,,
Hartmann's Zebra,2004,,,,,,,,,,,,,,,,
Hartmann's Zebra,2005,,,,,,,,,,,,,,,,
Hartmann's Zebra,2006,,,,,,,,,,,,,,,,
Hartmann's Zebra,2007,,,,,,,,,,,,,,,,
Hartmann's Zebra,2008,,,,,,,,,,,,,,,,
Hartmann's Zebra,2009,,,204,,,,,,,,,,,,,
Hartmann's Zebra,2010,,,852,,,,,,,,,,,,,
Hartmann's Zebra,2011,,,1019,,,,,,,,,,,,,
Hartmann's Zebra,2012,,,1070,,,,,,,,,,,,,
Hartmann's Zebra,2013,,,900,,,,,,,,,,,,,
Hartmann's Zebra,2014,,,896,,,,,,,,,,,,,
Hartmann's Zebra,2015,,,896,,,,,,,,,,,,,
Hartmann's Zebra,2016,,,917,,,,,,,,,,,,,
Hartmann's Zebra,2017,,,858,,,,,,,,,,,,,
Hartmann's Zebra,2018,,,851,,,,,,,,,,,,,
Hartmann's Zebra,2019,,,864,,,,,,,,,,,,,
Hartmann's Zebra,2020,,,858,,,,,,,,,,,,,
Hartmann's Zebra,2021,,,928,,,,,,,,,,,,,
Hartmann's Zebra,2022,,,911,,,,,,,,,,,,,
Hartmann's Zebra,2023,76,12,974,7.8,,,,,,,,,,,,
Hartmann's Zebra,2024,8,1,1060,0.8,,,,,,,,,,,,
Honey Badger,2003,,,,,,,,,,,,,,,,
Honey Badger,2004,,,,,,,,,,,,,,,,
Honey Badger,2005,,,,,,,,,,,,,,,,
Honey Badger,2006,,,,,,,,,,,,,,,,
Honey Badger,2007,,,,,,,,,,,,,,,,
Honey Badger,2008,,,,,,,,,,,,,,,,
Honey Badger,2009,,,204,,,,,,,,,,,,,
Honey Badger,2010,,,852,,,,,,,,,,,,,
Honey Badger,2011,,,1019,,,,,,,,,,,,,
Honey Badger,2012,,,1070,,,,,,,,,,,,,
Honey Badger,2013,,,900,,,,,,,,,,,,,
Honey Badger,2014,,,896,,,,,,,,,,,,,
Honey Badger,2015,3,1,896,0.3,,,,,,,,,,,,
Honey Badger,2016,,,917,,,,,,,,,,,,,
Honey Badger,2017,,,858,,,,,,,,,,,,,
Honey Badger,2018,,,851,,,,,,,,,,,,,
Honey Badger,2019,,,864,,,,,,,,,,,,,
Honey Badger,2020,,,858,,,,,,,,,,,,,
Honey Badger,2021,,,928,,,,,,,,,,,,,
Honey Badger,2022,,,911,,,,,,,,,,,,,
Honey Badger,2023,,,974,,,,,,,,,,,,,
Honey Badger,2024,,,1060,,,,,,,,,,,,,
"Impala, Black-faced",2003,,,,,,,,,,,,,,,,
"Impala, Black-faced",2004,,,,,,,,,,,,,,,,
"Impala, Black-faced",2005,,,,,,,,,,,,,,,,
"Impala, Black-faced",2006,,,,,,,,,,,,,,,,
"Impala, Black-faced",2007,,,,,,,,,,,,,,,,
"Impala, Black-faced",2008,1,1,,,,,,,,,,,,,,
"Impala, Black-faced",2009,16,2,204,7.8,,,,,,,,,,,,
"Impala, Black-faced",2010,39,2,852,4.6,,,,,,,,,,,,
"Impala, Black-faced",2011,6,2,1019,0.6,,,,,,,,,,,,
"Impala, Black-faced",2012,15,3,1070,1.4,,,,,,,,,,,,
"Impala, Black-faced",2013,19,7,900,2.1,,,,,,,,,,,,
"Impala, Black-faced",2014,3,1,896,0.3,,,,,,,,,,,,
