ID_Location,Name,SpeciesName,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,,,,,,,,,
19,Uukwaluudhi,Springbok,2020,323,32,400,230,690,,,,,,,,,
19,Uukwaluudhi,Springbok,2021,608,33,315,142,697,,,,,,,,,
19,Uukwaluudhi,Springbok,2022,346,23,261,131,519,,,,,,,,,
19,Uukwaluudhi,Springbok,2023,425,35,626,274,1428,,,,,,,,,
19,Uukwaluudhi,Springbok,2024,446,45,705,358,1387,,,,,,,,,
19,Uukwaluudhi,Steenbok,2013,7,6,36,9,144,,,,,,,,,
19,Uukwaluudhi,Steenbok,2014,6,5,37,14,100,,,,,,,,,
19,Uukwaluudhi,Steenbok,2015,7,6,70,30,190,,,,,,,,,
19,Uukwaluudhi,Steenbok,2016,9,8,40,11,114,,,,,,,,,
19,Uukwaluudhi,Steenbok,2020,2,2,12,3,44,,,,,,,,,
19,Uukwaluudhi,Vervet Monkey,2024,351,9,838,154,4576,,,,,,,,,
19,Uukwaluudhi,Warthog,2013,23,8,53,23,124,,,,,,,,,
19,Uukwaluudhi,Warthog,2016,36,11,80,34,170,,,,,,,,,
19,Uukwaluudhi,Warthog,2017,4,2,10,4,40,,,,,,,,,
19,Uukwaluudhi,Warthog,2018,3,2,103,3,37,,,,,,,,,
19,Uukwaluudhi,Warthog,2019,6,4,19,8,49,,,,,,,,,
