Name,Species,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,Total_Area,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Springbok,2022,380,43,4492,2015,10015,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Springbok,2023,154,12,2632,1315,5268,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Springbok,2024,192,40,2729,1104,6749,6003,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Steenbok,2016,4,4,275,110,690,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Steenbok,2018,2,2,130,35,470,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Steenbok,2019,8,7,480,170,1350,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Steenbok,2020,17,14,1032,325,3271,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Steenbok,2021,2,2,121,20,731,7190,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Steenbok,2022,6,5,213,36,1263,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Steenbok,2023,3,2,164,45,596,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Steenbok,2024,8,5,529,114,2453,6003,,,,,,,,,,,,,,,,,
South of Vet Fence,Gemsbok,2016,296,100,7240,4570,11470,33794,,,,,,,,,,,,,,,,,
South of Vet Fence,Gemsbok,2017,96,32,4180,2410,7245,33096,,,,,,,,,,,,,,,,,
South of Vet Fence,Gemsbok,2018,52,14,600,190,1910,34419,,,,,,,,,,,,,,,,,
South of Vet Fence,Gemsbok,2019,158,44,1810,970,3380,33896,,,,,,,,,,,,,,,,,
South of Vet Fence,Gemsbok,2020,17,8,171,47,623,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Gemsbok,2021,20,7,207,74,581,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Gemsbok,2022,14,1,120,22,651,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Gemsbok,2023,4,1,47,9,250,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Gemsbok,2024,9,4,120,29,486,32756,,,,,,,,,,,,,,,,,
South of Vet Fence,Hartmann's Zebra,2016,359,62,8360,5110,13670,33794,,,,,,,,,,,,,,,,,
South of Vet Fence,Hartmann's Zebra,2017,163,33,8505,5550,13040,33096,,,,,,,,,,,,,,,,,
South of Vet Fence,Hartmann's Zebra,2018,230,45,2590,1490,4470,34419,,,,,,,,,,,,,,,,,
South of Vet Fence,Hartmann's Zebra,2019,314,60,3855,1890,7850,33896,,,,,,,,,,,,,,,,,
South of Vet Fence,Hartmann's Zebra,2020,88,20,1061,549,2053,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Hartmann's Zebra,2021,88,13,948,417,22153,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Hartmann's Zebra,2022,54,7,363,147,897,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Hartmann's Zebra,2023,95,10,1354,670,2734,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Hartmann's Zebra,2024,144,19,1626,644,4104,32756,,,,,,,,,,,,,,,,,
South of Vet Fence,Kudu,2016,104,35,1410,640,3130,33794,,,,,,,,,,,,,,,,,
South of Vet Fence,Kudu,2017,32,15,560,270,1160,33096,,,,,,,,,,,,,,,,,
South of Vet Fence,Kudu,2018,22,11,390,180,875,34419,,,,,,,,,,,,,,,,,
South of Vet Fence,Kudu,2019,40,14,1070,510,2230,33896,,,,,,,,,,,,,,,,,
South of Vet Fence,Kudu,2020,17,3,387,122,1225,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Kudu,2021,22,5,327,109,979,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Kudu,2022,18,4,231,85,627,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Kudu,2023,22,5,143,42,488,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Kudu,2024,27,8,298,120,740,32756,,,,,,,,,,,,,,,,,
South of Vet Fence,Ostrich,2016,167,42,5120,3570,7340,33794,,,,,,,,,,,,,,,,,
South of Vet Fence,Ostrich,2017,138,35,3760,2670,5300,33096,,,,,,,,,,,,,,,,,
South of Vet Fence,Ostrich,2018,174,50,2010,1270,3180,34419,,,,,,,,,,,,,,,,,
South of Vet Fence,Ostrich,2019,249,49,2670,1660,4290,33896,,,,,,,,,,,,,,,,,
South of Vet Fence,Ostrich,2020,137,23,1155,562,2371,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Ostrich,2021,72,22,1074,557,2071,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Ostrich,2022,191,37,1394,820,2368,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Ostrich,2023,198,20,1456,851,2490,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Ostrich,2024,91,20,1116,619,2011,32756,,,,,,,,,,,,,,,,,
South of Vet Fence,Springbok,2016,1189,166,56140,38360,82150,33794,,,,,,,,,,,,,,,,,
South of Vet Fence,Springbok,2017,1242,111,43360,30180,62300,33096,,,,,,,,,,,,,,,,,
South of Vet Fence,Springbok,2018,874,107,8275,5090,13470,34419,,,,,,,,,,,,,,,,,
South of Vet Fence,Springbok,2019,1020,137,13370,8400,21290,33896,,,,,,,,,,,,,,,,,
South of Vet Fence,Springbok,2020,461,64,9585,5216,17613,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Springbok,2021,645,64,10679,4834,23590,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Springbok,2022,559,66,9303,5480,15793,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Springbok,2023,942,31,19008,10380,34807,33959,,,,,,,,,,,,,,,,,
