Year,Cons,Gemsbok,Giraffe,Hartmann's Zebra,Kudu,Ostrich,Springbok,Steenbok,,,,,,,,,,,,,,,,,
2012,Orupupa,-4,0,,-6,-3,-33,-49,,,,,,,,,,,,,,,,,
2012,Otjambangu,14,,,5,54,554,80,,,,,,,,,,,,,,,,,
2012,Otjimboyo,,4,,9,428,2607,453,,,,,,,,,,,,,,,,,
2012,Otuzemba,,,,,,,-5,,,,,,,,,,,,,,,,,
2012,Ozondundu,,18,,,,62,101,,,,,,,,,,,,,,,,,
2012,Palmwag,4561,309,,155,612,14321,482,,,,,,,,,,,,,,,,,
2012,Puros,4103,334,,,1189,3533,,,,,,,,,,,,,,,,,,
2012,Sanitatas,1360,41,,18,194,3489,159,,,,,,,,,,,,,,,,,
2012,Sesfontein,2144,124,,,280,3437,319,,,,,,,,,,,,,,,,,
2012,Sorris Sorris,,128,,,813,13285,2104,,,,,,,,,,,,,,,,,
2012,Torra,5506,140,,674,1033,8636,693,,,,,,,,,,,,,,,,,
2012,Tsiseb,485,,,,1761,5455,1911,,,,,,,,,,,,,,,,,
2013,!Khoro !Goreb,,,,69,,18,595,,,,,,,,,,,,,,,,,
2013,//Huab,52,,68,394,74,736,1918,,,,,,,,,,,,,,,,,
2013,≠Gaingu,,,128,132,47,3551,5015,,,,,,,,,,,,,,,,,
2013,≠Khoadi-//Hôas,453,161,2190,382,216,4181,1911,,,,,,,,,,,,,,,,,
2013,Anabeb,148,56,185,103,85,3700,40,,,,,,,,,,,,,,,,,
2013,Doro !nawas,1877,72,1623,46,300,2562,613,,,,,,,,,,,,,,,,,
2013,Ehi-Rovipuka,81,72,1125,87,,4359,625,,,,,,,,,,,,,,,,,
2013,Etendeka,365,48,536,90,10,2653,276,,,,,,,,,,,,,,,,,
2013,Marienfluss,7381,63,12,,740,16574,170,,,,,,,,,,,,,,,,,
2013,Ohungu,,,,55,197,3312,753,,,,,,,,,,,,,,,,,
2013,Okangundumba,,,,24,275,2803,549,,,,,,,,,,,,,,,,,
2013,Okondjombo,602,30,2159,,410,3117,985,,,,,,,,,,,,,,,,,
2013,Omatendeka,129,196,333,101,155,4719,989,,,,,,,,,,,,,,,,,
2013,Ombujokanguindi,,,,,323,1925,,,,,,,,,,,,,,,,,,
2013,Orupembe,4647,16,853,114,1127,6638,282,,,,,,,,,,,,,,,,,
2013,Orupupa,,-2,,-1,-22,-56,-51,,,,,,,,,,,,,,,,,
2013,Otjambangu,3,,,36,45,451,87,,,,,,,,,,,,,,,,,
2013,Otjikondavirongo,,41,,,39,1216,135,,,,,,,,,,,,,,,,,
2013,Otjimboyo,18,,,,107,36,456,,,,,,,,,,,,,,,,,
2013,Otuzemba,,,-2,-1,,,-7,,,,,,,,,,,,,,,,,
2013,Ozondundu,,,,71,35,114,368,,,,,,,,,,,,,,,,,
2013,Palmwag,3085,263,8466,302,948,8888,1167,,,,,,,,,,,,,,,,,
2013,Puros,1293,212,144,80,1818,2141,185,,,,,,,,,,,,,,,,,
2013,Sanitatas,421,34,498,,140,2916,327,,,,,,,,,,,,,,,,,
2013,Sesfontein,1661,150,445,39,237,1274,498,,,,,,,,,,,,,,,,,
2013,Sorris Sorris,296,107,155,19,326,866,1412,,,,,,,,,,,,,,,,,
2013,Torra,3586,151,4920,431,1097,5550,788,,,,,,,,,,,,,,,,,
2013,Tsiseb,334,,1143,,334,741,778,,,,,,,,,,,,,,,,,
2014,!Khoro !Goreb,,,,54,,244,575,,,,,,,,,,,,,,,,,
2014,//Audi,,,,,,,146,,,,,,,,,,,,,,,,,
2014,//Huab,41,,87,77,49,155,566,,,,,,,,,,,,,,,,,
2014,≠Gaingu,,,,181,133,3764,486,,,,,,,,,,,,,,,,,
2014,≠Khoadi-//Hôas,304,117,253,797,259,889,1050,,,,,,,,,,,,,,,,,
2014,Anabeb,363,18,840,163,46,2535,,,,,,,,,,,,,,,,,,
2014,Doro !nawas,747,42,1385,19,377,10395,,,,,,,,,,,,,,,,,,
2014,Ehi-Rovipuka,26,190,683,156,31,591,513,,,,,,,,,,,,,,,,,
2014,Etendeka,302,109,973,,15,8444,142,,,,,,,,,,,,,,,,,
2014,Marienfluss,3418,7,189,,878,9781,,,,,,,,,,,,,,,,,,
2014,Ohungu,,,,,41,325,517,,,,,,,,,,,,,,,,,
2014,Okangundumba,,,,112,270,1869,928,,,,,,,,,,,,,,,,,
