Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,,,,,,,,,
Gemsbok,2021,1,1,1451,0.1,,,,,,,,,,,,,,,,,,,,
Gemsbok,2022,,,1415,,,,,,,,,,,,,,,,,,,,,
Gemsbok,2023,8,3,1417,0.6,,,,,,,,,,,,,,,,,,,,
Gemsbok,2024,6,2,1331,0.5,,,,,,,,,,,,,,,,,,,,
Giraffe,2005,,,811,,,,,,,,,,,,,,,,,,,,,
Giraffe,2006,,,827,,,,,,,,,,,,,,,,,,,,,
Giraffe,2007,,,810,,,,,,,,,,,,,,,,,,,,,
Giraffe,2008,,,1050,,,,,,,,,,,,,,,,,,,,,
Giraffe,2009,,,1150,,,,,,,,,,,,,,,,,,,,,
Giraffe,2010,,,1263,,,,,,,,,,,,,,,,,,,,,
Giraffe,2011,,,1463,,,,,,,,,,,,,,,,,,,,,
Giraffe,2012,,,1344,,,,,,,,,,,,,,,,,,,,,
Giraffe,2013,,,1386,,,,,,,,,,,,,,,,,,,,,
Giraffe,2014,,,1298,,,,,,,,,,,,,,,,,,,,,
Giraffe,2015,,,1427,,,,,,,,,,,,,,,,,,,,,
Giraffe,2016,,,1234,,,,,,,,,,,,,,,,,,,,,
Giraffe,2017,,,1451,,,,,,,,,,,,,,,,,,,,,
Giraffe,2018,,,1451,,,,,,,,,,,,,,,,,,,,,
Giraffe,2019,,,1451,,,,,,,,,,,,,,,,,,,,,
Giraffe,2020,,,1354,,,,,,,,,,,,,,,,,,,,,
Giraffe,2021,,,1451,,,,,,,,,,,,,,,,,,,,,
Giraffe,2022,,,1415,,,,,,,,,,,,,,,,,,,,,
Giraffe,2023,,,1417,,,,,,,,,,,,,,,,,,,,,
Giraffe,2024,,,1331,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2005,,,811,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2006,,,827,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2007,,,810,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2008,,,1050,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2009,,,1150,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2010,,,1263,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2011,,,1463,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2012,,,1344,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2013,,,1386,,,,,,,,,,,,,,,,,,,,,
